TV_PRIMEACCESS,TV_LATEFRINGE,TV_PRIME,TV_DAYTIME,TV_EARLYMORNING,TV_EARLYFRINGE,TV_OVERNIGHT,TOTAL_CONV
0.0,1.0,5.0,1.0,14.0,6.0,0.0,0
0.0,0.0,0.0,0.0,2.0,0.0,0.0,0
0.0,0.0,0.0,4.0,2.0,1.0,0.0,0
0.0,1.0,1.0,6.0,1.0,5.0,0.0,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,3.0,4.0,1.0,3.0,1.0,0.0,0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
0.0,3.0,5.0,5.0,1.0,4.0,0.0,0
0.0,4.0,0.0,0.0,0.0,0.0,8.0,0
0.0,0.0,0.0,6.0,0.0,0.0,0.0,0
0.0,4.0,1.0,0.0,0.0,3.0,0.0,0
0.0,14.0,0.0,0.0,4.0,0.0,0.0,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
0.0,2.0,2.0,0.0,0.0,0.0,0.0,0
2.0,3.0,5.0,8.0,4.0,7.0,6.0,0
0.0,1.0,0.0,0.0,0.0,2.0,0.0,0
0.0,9.0,11.0,4.0,0.0,11.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
2.0,0.0,0.0,11.0,12.0,4.0,0.0,0
0.0,1.0,0.0,2.0,0.0,0.0,0.0,0
2.0,11.0,18.0,2.0,0.0,10.0,0.0,0
0.0,5.0,0.0,5.0,0.0,2.0,0.0,0
0.0,5.0,1.0,0.0,0.0,0.0,4.0,0
1.0,10.0,1.0,6.0,1.0,8.0,2.0,0
0.0,0.0,0.0,4.0,3.0,11.0,0.0,0
0.0,1.0,0.0,5.0,0.0,0.0,0.0,0
0.17,0.0,0.37,3.34,0.89,0.0,0.0,1
0.0,3.0,0.0,0.0,0.0,1.0,1.0,0
0.49,0.0,0.0,0.51,0.0,0.17,0.0,1
2.0,0.0,2.0,4.0,0.0,5.0,0.0,0
1.0,5.0,5.0,0.0,0.0,1.0,0.0,0
0.0,0.0,0.0,0.0,3.0,0.0,0.0,0
0.0,21.0,6.0,4.0,0.0,2.0,22.0,0
4.0,0.0,2.0,5.0,1.0,2.0,0.0,0
0.0,1.0,1.0,1.0,0.0,2.0,1.0,0
0.0,6.0,14.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,0.0,3.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
0.0,0.0,8.54,4.87,11.26,2.86,10.12,1
0.0,0.0,0.0,2.0,13.0,0.0,0.0,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
0.0,4.0,2.0,0.0,2.0,2.0,0.0,0
0.0,1.0,1.0,9.0,0.0,3.0,0.0,0
0.0,0.0,1.0,0.0,3.0,0.0,0.0,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,4.0,0.0,3.0,0.0,1.0,0.0,0
1.0,0.0,1.0,2.0,0.0,0.0,0.0,0
2.0,1.0,2.0,6.0,2.0,0.0,0.0,0
3.0,0.0,2.0,13.0,5.0,10.0,0.0,0
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
0.0,1.0,0.0,0.0,1.0,0.0,1.0,0
1.0,1.0,2.0,5.0,1.0,4.0,0.0,0
0.0,0.0,4.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,1.0,0.0,2.0,0
1.0,1.0,2.0,0.0,1.0,0.0,0.0,0
0.0,0.94,2.82,0.0,0.0,1.94,0.0,1
2.0,22.0,21.0,1.0,2.0,7.0,0.0,0
0.0,1.0,8.0,1.0,0.0,0.0,0.0,0
0.0,0.0,0.0,4.0,4.0,2.0,0.0,0
0.0,11.0,7.0,10.0,0.0,11.0,2.0,0
0.0,4.0,4.0,0.0,0.0,1.0,2.0,0
0.0,1.0,0.0,1.0,2.0,0.0,0.0,0
